canton,annee,population
Aargau,1991,506818
Thurgau,1991,210542
Ticino,1991,290000
Vaud,1991,587283
Valais / Wallis,1991,257730
Neuchâtel,1991,161774
Genève,1991,381404
Jura,1991,67528
Suisse,1992,6907959
Zürich,1992,1158077
Bern / Berne,1992,953458
Luzern,1992,331830
Uri,1992,35544
Schwyz,1992,116090
Obwalden,1992,30247
Nidwalden,1992,34866
Glarus,1992,38976
Zug,1992,87065
Fribourg / Freiburg,1992,214555
Solothurn,1992,234878
Basel-Stadt,1992,196634
Basel-Landschaft,1992,233151
Schaffhausen,1992,73028
Appenzell Ausserrhoden,1992,53449
Appenzell Innerrhoden,1992,14548
St. Gallen,1992,432819
Graubünden / Grigioni / Grischun,1992,179279
Aargau,1992,511979
Thurgau,1992,213167
Ticino,1992,294108
Vaud,1992,593007
Valais / Wallis,1992,262389
Neuchâtel,1992,162581
Genève,1992,383911
Jura,1992,68323
Suisse,1993,6968570
Zürich,1993,1162083
Bern / Berne,1993,956617
Luzern,1993,335385
Uri,1993,35727
Schwyz,1993,118528
Obwalden,1993,30837
Nidwalden,1993,35393
Glarus,1993,39138
Zug,1993,88583
Fribourg / Freiburg,1993,218704
Solothurn,1993,236389
Basel-Stadt,1993,197403
Basel-Landschaft,1993,234910
Schaffhausen,1993,73588
Appenzell Ausserrhoden,1993,54087
Appenzell Innerrhoden,1993,14680
St. Gallen,1993,436967
Graubünden / Grigioni / Grischun,1993,181957
Aargau,1993,518945
Thurgau,1993,217129
Ticino,1993,297955
Vaud,1993,596736
Valais / Wallis,1993,266713
Neuchâtel,1993,163884
Genève,1993,387606
Jura,1993,68626
Suisse,1994,7019019
Zürich,1994,1168567
Bern / Berne,1994,941747
Luzern,1994,337941
Uri,1994,35933
Schwyz,1994,120576
Obwalden,1994,30958
Nidwalden,1994,35983
Glarus,1994,39388
Zug,1994,90412
Fribourg / Freiburg,1994,222227
Solothurn,1994,237338
Basel-Stadt,1994,197054
Basel-Landschaft,1994,251259
Schaffhausen,1994,73894
Appenzell Ausserrhoden,1994,54227
Appenzell Innerrhoden,1994,14742
St. Gallen,1994,440744
Graubünden / Grigioni / Grischun,1994,184155
Aargau,1994,523114
Thurgau,1994,220335
Ticino,1994,302131
Vaud,1994,602099
Valais / Wallis,1994,269341
Neuchâtel,1994,164176
Genève,1994,391699
Jura,1994,68979
Suisse,1995,7062354
Zürich,1995,1175457
Bern / Berne,1995,941952
Luzern,1995,340536
Uri,1995,35876
Schwyz,1995,122409
Obwalden,1995,31310
Nidwalden,1995,36466
Glarus,1995,39410
Zug,1995,92392
Fribourg / Freiburg,1995,224552
Solothurn,1995,239264
Basel-Stadt,1995,195759
Basel-Landschaft,1995,252331
Schaffhausen,1995,74035
Appenzell Ausserrhoden,1995,54104
Appenzell Innerrhoden,1995,14750
St. Gallen,1995,442350
Graubünden / Grigioni / Grischun,1995,185063
Aargau,1995,528887
Thurgau,1995,223372
Ticino,1995,305199
Vaud,1995,605677
Valais / Wallis,1995,271291
Neuchâtel,1995,165258
Genève,1995,395466
Jura,1995,69188
Suisse,1996,7081346
Zürich,1996,1178848
Bern / Berne,1996,940928
Luzern,1996,341809
Uri,1996,35861
Schwyz,1996,123788
Obwalden,1996,31440
Nidwalden,1996,36794
Glarus,1996,39161
Zug,1996,93737
Fribourg / Freiburg,1996,227866
Solothurn,1996,240777
Basel-Stadt,1996,194913
Basel-Landschaft,1996,253911
Schaffhausen,1996,73835
Appenzell Ausserrhoden,1996,54136
Appenzell Innerrhoden,1996,14833
St. Gallen,1996,443839
Graubünden / Grigioni / Grischun,1996,185999
Aargau,1996,531665
Thurgau,1996,224822
Ticino,1996,304830
Vaud,1996,606471
Valais / Wallis,1996,272315
Neuchâtel,1996,165232
Genève,1996,394588
Jura,1996,68948
Suisse,1997,7096465
Zürich,1997,1181614
Bern / Berne,1997,938647
Luzern,1997,342916
Uri,1997,35769
Schwyz,1997,125149
Obwalden,1997,31831
Nidwalden,1997,37232
Glarus,1997,38735
Zug,1997,95098
Fribourg / Freiburg,1997,229947
Solothurn,1997,241559
Basel-Stadt,1997,193053
Basel-Landschaft,1997,255305
Schaffhausen,1997,73741
Appenzell Ausserrhoden,1997,54011
Appenzell Innerrhoden,1997,14887
St. Gallen,1997,443880
Graubünden / Grigioni / Grischun,1997,185532
Aargau,1997,534028
Thurgau,1997,225395
Ticino,1997,305588
Vaud,1997,608153
Valais / Wallis,1997,273362
Neuchâtel,1997,165410
Genève,1997,396659
Jura,1997,68964
Suisse,1998,7123537
Zürich,1998,1187609
Bern / Berne,1998,941144
Luzern,1998,343254
Uri,1998,35612
Schwyz,1998,126479
Obwalden,1998,31989
Nidwalden,1998,37320
Glarus,1998,38698
Zug,1998,96517
Fribourg / Freiburg,1998,232086
Solothurn,1998,243450
Basel-Stadt,1998,190505
Basel-Landschaft,1998,256761
Schaffhausen,1998,73725
Appenzell Ausserrhoden,1998,53816
Appenzell Innerrhoden,1998,14873
St. Gallen,1998,444891
Graubünden / Grigioni / Grischun,1998,186118
Aargau,1998,536462
Thurgau,1998,226479
Ticino,1998,306179
Vaud,1998,611613
Valais / Wallis,1998,274458
Neuchâtel,1998,165594
Genève,1998,398910
Jura,1998,68995
Suisse,1999,7164444
Zürich,1999,1198569
Bern / Berne,1999,943427
Luzern,1999,345357
Uri,1999,35487
Schwyz,1999,128248
Obwalden,1999,32225
Nidwalden,1999,37657
Glarus,1999,38708
Zug,1999,97758
Fribourg / Freiburg,1999,234307
Solothurn,1999,243908
Basel-Stadt,1999,188458
Basel-Landschaft,1999,258602
Schaffhausen,1999,73552
Appenzell Ausserrhoden,1999,53737
Appenzell Innerrhoden,1999,14946
St. Gallen,1999,447609
Graubünden / Grigioni / Grischun,1999,186026
Aargau,1999,540639
Thurgau,1999,227285
Ticino,1999,308498
Vaud,1999,616275
Valais / Wallis,1999,275632
Neuchâtel,1999,165649
Genève,1999,403067
Jura,1999,68818
Suisse,2000,7204055
Zürich,2000,1211647
Bern / Berne,2000,943696
Luzern,2000,347209
Uri,2000,35246
Schwyz,2000,130232
Obwalden,2000,32414
Nidwalden,2000,38000
Glarus,2000,38546
Zug,2000,99388
Fribourg / Freiburg,2000,236339
Solothurn,2000,244015
Basel-Stadt,2000,187667
Basel-Landschaft,2000,260036
Schaffhausen,2000,73305
Appenzell Ausserrhoden,2000,53515
Appenzell Innerrhoden,2000,15021
St. Gallen,2000,449399
Graubünden / Grigioni / Grischun,2000,186744
Aargau,2000,544306
Thurgau,2000,227306
Ticino,2000,310215
